Hospital,region,source,date,year,month,day_of_week,season,is_bank_holiday,bank_holiday_name,is_weekend,is_flu_season,is_flu_peak,hospital_beds,ed_trolleys,ward_trolleys,total_trolleys,trolley_load,daily_ed_trolleys,daily_ward_trolleys,daily_total,weekly_ed_trolleys,weekly_ward_trolleys,weekly_total,yearly_ed_trolleys,yearly_ward_trolleys,yearly_total,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,occupancy_rate_pct,traffic_light_status,wait_tier,is_synthetic
Midland Regional Hospital Mullingar,Westmeath,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,5.6,2.2,7.8,7.8,5.6,2.2,7.8,39,15,54,1901,747,1107,5,2,1,0,4.2,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,133,5.3,2.3,7.6,7.6,5.3,2.3,7.6,37,16,56,1799,781,1580,4,3,1,0,5.7,Amber,Low breach,TRUE
Naas General Hospital,Kildare,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,178,9.9,5.1,15,15,9.9,5.1,15,69,36,104,3361,1731,1122,15,9,3,1,8.4,Red,Low breach,TRUE
Our Lady of Lourdes Hospital,Louth,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,426,2.2,1,3.2,3.2,2.2,1,3.2,15,7,22,747,339,736,0,9,0,0,0.8,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,Dublin,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,1,0.5,1.5,1.5,1,0.5,1.5,7,4,11,339,170,354,0,2,0,0,0.8,Green,No breach,TRUE
Portiuncula University Hospital,Galway,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,163,4.7,1.7,6.4,6.4,4.7,1.7,6.4,33,12,45,1595,577,1482,0,9,1,0,3.9,Green,Low breach,TRUE
Sligo University Hospital,Sligo,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,281,8,2.8,10.8,10.8,8,2.8,10.8,56,20,73,2716,950,2712,0,24,0,0,3.8,Green,No breach,TRUE
St Jamess Hospital,Dublin,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,680,8.2,4.2,12.4,12.4,8.2,4.2,12.4,57,29,89,2783,1426,4280,0,2,0,0,1.8,Green,No breach,TRUE
St Lukes General Hospital,Kilkenny,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,188,7.4,2.5,9.9,9.9,7.4,2.5,9.9,52,18,69,2512,849,3629,5,2,1,0,5.3,Amber,Low breach,TRUE
St. Vincent's University Hospital,Dublin,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,523,24.7,12.4,37.1,37.1,24.7,12.4,37.1,173,87,248,8384,4209,3075,6,21,3,1,7.1,Amber,Low breach,TRUE
Tallaght University Hospital,Dublin,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,397,3,1.3,4.3,4.3,3,1.3,4.3,21,9,29,1018,441,68,1,9,2,1,1.1,Green,Low breach,TRUE
Temple Street Childrens University Hospital,Dublin,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,100,0.6,0.2,0.8,0.8,0.6,0.2,0.8,4,1,5,204,68,314,0,6,0,0,0.8,Green,No breach,TRUE
Tipperary University Hospital,Tipperary,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,205,5.4,2.2,7.6,7.6,5.4,2.2,7.6,38,15,55,1833,747,7077,0,8,1,0,3.7,Green,Low breach,TRUE
University Hospital Kerry,Kerry,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,272,6.2,2.6,8.8,8.8,6.2,2.6,8.8,43,18,61,2105,883,394,0,14,0,0,3.2,Green,No breach,TRUE
University Hospital Limerick,Limerick,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,519,31.2,16.2,47.4,47.4,31.2,16.2,47.4,218,113,324,10591,5499,476,41,17,15,4,9.1,Red,Moderate breach,TRUE
Wexford General Hospital,Wexford,synthetic,6/30/2022,2022,6,Thursday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,227,1.8,0.8,2.6,2.6,1.8,0.8,2.6,13,6,18,611,272,1524,0,6,0,0,1.1,Green,No breach,TRUE
Bantry General Hospital,Cork,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,46,2.9,1.2,4.1,4.1,2.9,1.2,4.1,20,8,29,984,407,350,3,7,1,0,8.9,Red,Low breach,TRUE
Beaumont Hospital,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,718,7.1,3.3,10.4,10.4,7.1,3.3,10.4,50,23,76,2410,1120,1197,0,21,0,0,1.4,Green,No breach,TRUE
Cavan General Hospital,Cavan,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,231,4.2,2.2,6.4,6.4,4.2,2.2,6.4,29,15,43,1426,747,3440,0,2,0,0,2.8,Green,No breach,TRUE
Connolly Hospital Blanchardstown,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,303,2.6,1.4,4,4,2.6,1.4,4,18,10,28,883,475,1173,0,3,0,0,1.3,Green,No breach,TRUE
Cork University Hospital,Cork,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,664,25.4,11.6,37,37,25.4,11.6,37,178,81,256,8622,3938,455,19,35,4,1,5.6,Amber,Low breach,TRUE
Ennis Hospital,Clare,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,50,3.1,1.1,4.2,4.2,3.1,1.1,4.2,22,8,31,1052,373,3979,5,4,1,0,8.4,Red,Low breach,TRUE
Galway University Hospitals,Galway,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,663,16,8.6,24.6,24.6,16,8.6,24.6,112,60,176,5431,2919,1777,0,27,0,0,3.7,Green,No breach,TRUE
Letterkenny University Hospital,Donegal,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,350,3.5,1.4,4.9,4.9,3.5,1.4,4.9,24,10,36,1188,475,492,1,31,0,0,1.4,Green,No breach,TRUE
Mater Misericordiae University Hospital,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,678,12.3,4.6,16.9,16.9,12.3,4.6,16.9,86,32,121,4175,1561,1749,0,13,0,0,2.5,Green,No breach,TRUE
Mayo University Hospital,Mayo,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,255,12.3,5.5,17.8,17.8,12.3,5.5,17.8,86,38,120,4175,1867,3496,6,6,2,1,7,Amber,Low breach,TRUE
Mercy University Hospital,Cork,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,198,1.9,0.7,2.6,2.6,1.9,0.7,2.6,13,5,17,645,238,1315,1,15,0,0,1.3,Green,No breach,TRUE
Midland Regional Hospital Mullingar,Westmeath,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,5.6,2.3,7.9,7.9,5.6,2.3,7.9,39,16,55,1901,781,1093,5,2,1,0,4.3,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,133,5.4,2,7.4,7.4,5.4,2,7.4,38,14,50,1833,679,1491,2,3,1,0,5.6,Amber,Low breach,TRUE
Naas General Hospital,Kildare,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,178,10.2,3.8,14,14,10.2,3.8,14,71,27,103,3462,1290,1117,4,9,2,0,7.9,Amber,Low breach,TRUE
Our Lady of Lourdes Hospital,Louth,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,426,2.4,0.9,3.3,3.3,2.4,0.9,3.3,17,6,24,815,306,726,0,9,0,0,0.8,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,1.4,0.5,1.9,1.9,1.4,0.5,1.9,10,4,14,475,170,349,0,4,0,0,1,Green,No breach,TRUE
Portiuncula University Hospital,Galway,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,163,4.1,1.8,5.9,5.9,4.1,1.8,5.9,29,13,40,1392,611,1439,1,8,1,0,3.6,Green,Low breach,TRUE
Sligo University Hospital,Sligo,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,281,8.2,3.4,11.6,11.6,8.2,3.4,11.6,57,24,84,2783,1154,2740,11,26,1,0,4.1,Amber,Low breach,TRUE
St Jamess Hospital,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,680,6.7,3.5,10.2,10.2,6.7,3.5,10.2,47,24,72,2274,1188,4290,0,0,0,0,1.5,Green,No breach,TRUE
St Lukes General Hospital,Kilkenny,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,188,6.8,3.2,10,10,6.8,3.2,10,48,22,67,2308,1086,3483,3,2,1,0,5.3,Amber,Low breach,TRUE
St. Vincent's University Hospital,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,523,29.6,10.5,40.1,40.1,29.6,10.5,40.1,207,74,278,10048,3564,2972,8,23,3,1,7.7,Amber,Low breach,TRUE
Tallaght University Hospital,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,397,2.9,1.2,4.1,4.1,2.9,1.2,4.1,20,8,30,984,407,63,0,8,0,0,1,Green,No breach,TRUE
Temple Street Childrens University Hospital,Dublin,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,100,0.6,0.2,0.8,0.8,0.6,0.2,0.8,4,1,6,204,68,294,0,0,0,0,0.8,Green,No breach,TRUE
Tipperary University Hospital,Tipperary,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,205,4.5,2.3,6.8,6.8,4.5,2.3,6.8,32,16,46,1528,781,7064,0,8,0,0,3.3,Green,No breach,TRUE
University Hospital Kerry,Kerry,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,272,5.5,2.3,7.8,7.8,5.5,2.3,7.8,38,16,54,1867,781,371,0,12,0,0,2.9,Green,No breach,TRUE
University Hospital Limerick,Limerick,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,519,33,15.4,48.4,48.4,33,15.4,48.4,231,108,333,11202,5228,484,35,17,8,2,9.3,Red,Moderate breach,TRUE
Wexford General Hospital,Wexford,synthetic,07/01/2022,2022,7,Friday,Summer,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,227,1.7,0.6,2.3,2.3,1.7,0.6,2.3,12,4,16,577,204,1520,0,5,0,0,1,Green,No breach,TRUE
Bantry General Hospital,Cork,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,46,2.8,1,3.8,3.8,2.8,1,3.8,20,7,25,950,339,365,4,8,1,0,8.3,Red,Low breach,TRUE
Beaumont Hospital,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,718,5.9,2.9,8.8,8.8,5.9,2.9,8.8,41,20,60,2003,984,1170,0,21,0,0,1.2,Green,No breach,TRUE
Cavan General Hospital,Cavan,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,231,4.1,1.4,5.5,5.5,4.1,1.4,5.5,29,10,37,1392,475,3510,0,3,0,0,2.4,Green,No breach,TRUE
Connolly Hospital Blanchardstown,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,303,2.8,1.1,3.9,3.9,2.8,1.1,3.9,20,8,28,950,373,1213,0,4,0,0,1.3,Green,No breach,TRUE
Cork University Hospital,Cork,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,664,20.7,7.5,28.2,28.2,20.7,7.5,28.2,145,52,194,7027,2546,437,25,33,2,0,4.2,Amber,Low breach,TRUE
Ennis Hospital,Clare,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,50,2.5,0.9,3.4,3.4,2.5,0.9,3.4,18,6,24,849,306,4190,1,4,0,0,6.8,Amber,No breach,TRUE
Galway University Hospitals,Galway,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,663,14.3,6.2,20.5,20.5,14.3,6.2,20.5,100,43,147,4854,2105,1736,0,28,0,0,3.1,Green,No breach,TRUE
Letterkenny University Hospital,Donegal,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,350,3,1.4,4.4,4.4,3,1.4,4.4,21,10,30,1018,475,507,0,34,0,0,1.3,Green,No breach,TRUE
Mater Misericordiae University Hospital,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,678,9.4,4.7,14.1,14.1,9.4,4.7,14.1,66,33,102,3191,1595,1727,0,13,0,0,2.1,Green,No breach,TRUE
Mayo University Hospital,Mayo,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,255,10,3.4,13.4,13.4,10,3.4,13.4,70,24,95,3394,1154,3527,3,6,1,0,5.3,Amber,Low breach,TRUE
Mercy University Hospital,Cork,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,198,1.3,0.4,1.7,1.7,1.3,0.4,1.7,9,3,12,441,136,1384,1,12,1,0,0.9,Green,Low breach,TRUE
Midland Regional Hospital Mullingar,Westmeath,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,4.6,2.1,6.7,6.7,4.6,2.1,6.7,32,15,45,1561,713,1113,1,2,0,0,3.6,Green,No breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,133,3.6,1.3,4.9,4.9,3.6,1.3,4.9,25,9,33,1222,441,1552,0,2,0,0,3.7,Green,No breach,TRUE
Naas General Hospital,Kildare,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,178,7,3.6,10.6,10.6,7,3.6,10.6,49,25,72,2376,1222,1116,3,8,1,0,6,Amber,Low breach,TRUE
Our Lady of Lourdes Hospital,Louth,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,426,1.6,0.7,2.3,2.3,1.6,0.7,2.3,11,5,16,543,238,740,0,8,0,0,0.5,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,1,0.4,1.4,1.4,1,0.4,1.4,7,3,10,339,136,362,1,1,0,0,0.8,Green,No breach,TRUE
Portiuncula University Hospital,Galway,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,163,3.4,1.7,5.1,5.1,3.4,1.7,5.1,24,12,36,1154,577,1436,1,9,0,0,3.1,Green,No breach,TRUE
Sligo University Hospital,Sligo,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,281,5.6,2.9,8.5,8.5,5.6,2.9,8.5,39,20,60,1901,984,2713,0,23,0,0,3,Green,No breach,TRUE
St Jamess Hospital,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,680,6,2.3,8.3,8.3,6,2.3,8.3,42,16,56,2037,781,4236,1,2,0,0,1.2,Green,No breach,TRUE
St Lukes General Hospital,Kilkenny,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,188,6.4,2.2,8.6,8.6,6.4,2.2,8.6,45,15,58,2172,747,3603,7,3,1,0,4.6,Amber,Low breach,TRUE
St. Vincent's University Hospital,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,523,22.7,8.9,31.6,31.6,22.7,8.9,31.6,159,62,218,7706,3021,2960,20,22,4,1,6,Amber,Low breach,TRUE
Tallaght University Hospital,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,397,2.2,0.8,3,3,2.2,0.8,3,15,6,20,747,272,64,0,7,0,0,0.8,Green,No breach,TRUE
Temple Street Childrens University Hospital,Dublin,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,100,0.5,0.2,0.7,0.7,0.5,0.2,0.7,4,1,5,170,68,294,1,2,1,0,0.7,Green,Low breach,TRUE
Tipperary University Hospital,Tipperary,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,205,4.3,1.8,6.1,6.1,4.3,1.8,6.1,30,13,41,1460,611,7077,0,8,0,0,3,Green,No breach,TRUE
University Hospital Kerry,Kerry,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,272,5.1,2.1,7.2,7.2,5.1,2.1,7.2,36,15,50,1731,713,383,1,14,0,0,2.6,Green,No breach,TRUE
University Hospital Limerick,Limerick,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,519,28.9,9.7,38.6,38.6,28.9,9.7,38.6,202,68,281,9810,3293,464,17,16,3,1,7.4,Amber,Low breach,TRUE
Wexford General Hospital,Wexford,synthetic,07/02/2022,2022,7,Saturday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,227,1.3,0.6,1.9,1.9,1.3,0.6,1.9,9,4,14,441,204,1516,0,5,0,0,0.8,Green,No breach,TRUE
Bantry General Hospital,Cork,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,46,2.6,0.9,3.5,3.5,2.6,0.9,3.5,18,6,25,883,306,357,2,8,0,0,7.6,Amber,No breach,TRUE
Beaumont Hospital,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,718,4.9,2.4,7.3,7.3,4.9,2.4,7.3,34,17,52,1663,815,1178,0,18,1,0,1,Green,Low breach,TRUE
Cavan General Hospital,Cavan,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,231,3.6,1.3,4.9,4.9,3.6,1.3,4.9,25,9,34,1222,441,3395,0,2,0,0,2.1,Green,No breach,TRUE
Connolly Hospital Blanchardstown,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,303,2.4,1,3.4,3.4,2.4,1,3.4,17,7,23,815,339,1233,1,3,0,0,1.1,Green,No breach,TRUE
Cork University Hospital,Cork,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,664,17.4,7.7,25.1,25.1,17.4,7.7,25.1,122,54,180,5906,2614,446,0,29,0,0,3.8,Green,No breach,TRUE
Ennis Hospital,Clare,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,50,2.5,1,3.5,3.5,2.5,1,3.5,18,7,25,849,339,4129,2,4,0,0,7,Amber,No breach,TRUE
Galway University Hospitals,Galway,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,663,12.4,6.1,18.5,18.5,12.4,6.1,18.5,87,43,131,4209,2071,1772,0,25,0,0,2.8,Green,No breach,TRUE
Letterkenny University Hospital,Donegal,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,350,2.7,1.3,4,4,2.7,1.3,4,19,9,29,917,441,497,0,31,0,0,1.1,Green,No breach,TRUE
Mater Misericordiae University Hospital,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,678,10.7,3.8,14.5,14.5,10.7,3.8,14.5,75,27,106,3632,1290,1776,0,14,0,0,2.1,Green,No breach,TRUE
Mayo University Hospital,Mayo,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,255,10.7,3.7,14.4,14.4,10.7,3.7,14.4,75,26,99,3632,1256,3465,5,6,1,0,5.6,Amber,Low breach,TRUE
Mercy University Hospital,Cork,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,198,1.4,0.7,2.1,2.1,1.4,0.7,2.1,10,5,14,475,238,1319,0,14,0,0,1.1,Green,No breach,TRUE
Midland Regional Hospital Mullingar,Westmeath,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,4.8,2.5,7.3,7.3,4.8,2.5,7.3,34,18,50,1629,849,1085,4,2,1,0,4,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,Portlaoise,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,133,3.1,1.7,4.8,4.8,3.1,1.7,4.8,22,12,35,1052,577,1487,0,2,1,0,3.6,Green,Low breach,TRUE
Naas General Hospital,Kildare,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,178,7.5,3.5,11,11,7.5,3.5,11,52,24,74,2546,1188,1134,5,8,1,0,6.2,Amber,Low breach,TRUE
Our Lady of Lourdes Hospital,Louth,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,426,1.9,0.9,2.8,2.8,1.9,0.9,2.8,13,6,20,645,306,735,1,9,0,0,0.7,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,0.9,0.5,1.4,1.4,0.9,0.5,1.4,6,4,10,306,170,348,0,2,0,0,0.8,Green,No breach,TRUE
Portiuncula University Hospital,Galway,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,163,3.3,1.3,4.6,4.6,3.3,1.3,4.6,23,9,33,1120,441,1449,0,8,0,0,2.8,Green,No breach,TRUE
Sligo University Hospital,Sligo,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,281,6.6,2.4,9,9,6.6,2.4,9,46,17,61,2240,815,2756,1,24,0,0,3.2,Green,No breach,TRUE
St Jamess Hospital,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,680,7.4,3,10.4,10.4,7.4,3,10.4,52,21,70,2512,1018,4060,0,1,0,0,1.5,Green,No breach,TRUE
St Lukes General Hospital,Kilkenny,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,188,5,2.5,7.5,7.5,5,2.5,7.5,35,18,52,1697,849,3509,2,2,1,0,4,Amber,Low breach,TRUE
St. Vincent's University Hospital,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,523,21,9.8,30.8,30.8,21,9.8,30.8,147,69,212,7128,3327,3064,8,21,3,1,5.9,Amber,Low breach,TRUE
Tallaght University Hospital,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,397,2.3,1.2,3.5,3.5,2.3,1.2,3.5,16,8,25,781,407,63,0,8,0,0,0.9,Green,No breach,TRUE
Temple Street Childrens University Hospital,Dublin,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,100,0.4,0.2,0.6,0.6,0.4,0.2,0.6,3,1,4,136,68,292,0,1,1,0,0.6,Green,Low breach,TRUE
Tipperary University Hospital,Tipperary,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,205,4,2,6,6,4,2,6,28,14,44,1358,679,7152,0,8,0,0,2.9,Green,No breach,TRUE
University Hospital Kerry,Kerry,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,272,4.3,1.8,6.1,6.1,4.3,1.8,6.1,30,13,43,1460,611,374,1,12,0,0,2.2,Green,No breach,TRUE
University Hospital Limerick,Limerick,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,519,27.9,14.4,42.3,42.3,27.9,14.4,42.3,195,101,286,9471,4888,469,61,18,8,2,8.2,Red,Moderate breach,TRUE
Wexford General Hospital,Wexford,synthetic,07/03/2022,2022,7,Sunday,Summer,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,227,1.5,0.7,2.2,2.2,1.5,0.7,2.2,10,5,15,509,238,1533,0,6,0,0,1,Green,No breach,TRUE
