Hospital,source,date,year,month,day_of_week,season,is_bank_holiday,bank_holiday_name,is_weekend,is_flu_season,is_flu_peak,hospital_beds,ed_trolleys,ward_trolleys,total_trolleys,trolley_load,daily_ed_trolleys,daily_ward_trolleys,daily_total,weekly_ed_trolleys,weekly_ward_trolleys,weekly_total,yearly_ed_trolleys,yearly_ward_trolleys,yearly_total,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,occupancy_rate_pct,traffic_light_status,wait_tier,is_synthetic
Mayo University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,255,13.1,5.3,18.4,18.4,13.1,5.3,18.4,92,37,124,4447,1799,3778,8,7,1,0,7.2,Amber,Low breach,TRUE
Mercy University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,198,2.1,0.7,2.8,2.8,2.1,0.7,2.8,15,5,19,713,238,1455,0,16,1,0,1.4,Green,Low breach,TRUE
Midland Regional Hospital Mullingar,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,4.8,2.5,7.3,7.3,4.8,2.5,7.3,34,18,51,1629,849,1198,6,1,1,0,4,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,133,4.7,2.4,7.1,7.1,4.7,2.4,7.1,33,17,50,1595,815,1666,5,3,1,0,5.3,Amber,Low breach,TRUE
Naas General Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,178,8.2,3.9,12.1,12.1,8.2,3.9,12.1,57,27,81,2783,1324,1171,3,8,1,0,6.8,Amber,Low breach,TRUE
Our Lady of Lourdes Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,426,2.5,0.9,3.4,3.4,2.5,0.9,3.4,18,6,24,849,306,763,0,9,0,0,0.8,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,1.4,0.5,1.9,1.9,1.4,0.5,1.9,10,4,13,475,170,388,0,1,0,0,1,Green,No breach,TRUE
Portiuncula University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,163,3.8,1.3,5.1,5.1,3.8,1.3,5.1,27,9,35,1290,441,1584,0,7,0,0,3.1,Green,No breach,TRUE
Sligo University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,281,8.2,4,12.2,12.2,8.2,4,12.2,57,28,81,2783,1358,2881,6,27,2,1,4.3,Amber,Low breach,TRUE
St Jamess Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,680,8,4.2,12.2,12.2,8,4.2,12.2,56,29,85,2716,1426,4649,0,1,0,0,1.8,Green,No breach,TRUE
St Lukes General Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,188,7.9,2.7,10.6,10.6,7.9,2.7,10.6,55,19,71,2682,917,3892,6,4,2,1,5.6,Amber,Low breach,TRUE
St. Vincent's University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,523,24.4,11.9,36.3,36.3,24.4,11.9,36.3,171,83,262,8283,4039,3234,13,21,4,1,6.9,Amber,Low breach,TRUE
Tallaght University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,397,2.7,1.3,4,4,2.7,1.3,4,19,9,28,917,441,70,1,8,0,0,1,Green,No breach,TRUE
Temple Street Childrens University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,100,0.6,0.3,0.9,0.9,0.6,0.3,0.9,4,2,6,204,102,329,0,1,0,0,0.9,Green,No breach,TRUE
Tipperary University Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,205,5.5,2.5,8,8,5.5,2.5,8,38,18,57,1867,849,7767,0,9,0,0,3.9,Green,No breach,TRUE
University Hospital Kerry,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,272,5.5,2.4,7.9,7.9,5.5,2.4,7.9,38,17,53,1867,815,416,0,13,1,0,2.9,Green,Low breach,TRUE
University Hospital Limerick,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,519,33.7,16.3,50,50,33.7,16.3,50,236,114,342,11439,5533,507,35,18,15,3,9.6,Red,Moderate breach,TRUE
Wexford General Hospital,synthetic,5/19/2022,2022,5,Thursday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,227,1.5,0.8,2.3,2.3,1.5,0.8,2.3,10,6,16,509,272,1631,1,5,1,0,1,Green,Low breach,TRUE
Bantry General Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,46,3.1,1.5,4.6,4.6,3.1,1.5,4.6,22,10,33,1052,509,388,3,8,2,0,10,Red,Low breach,TRUE
Beaumont Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,718,6.7,3.5,10.2,10.2,6.7,3.5,10.2,47,24,70,2274,1188,1278,0,20,0,0,1.4,Green,No breach,TRUE
Cavan General Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,231,4,2,6,6,4,2,6,28,14,44,1358,679,3636,0,2,0,0,2.6,Green,No breach,TRUE
Connolly Hospital Blanchardstown,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,303,2.8,1.2,4,4,2.8,1.2,4,20,8,28,950,407,1329,0,3,0,0,1.3,Green,No breach,TRUE
Cork University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,664,25.2,9.4,34.6,34.6,25.2,9.4,34.6,176,66,251,8554,3191,483,13,33,4,1,5.2,Amber,Low breach,TRUE
Ennis Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,50,2.9,1.1,4,4,2.9,1.1,4,20,8,27,984,373,4274,5,4,1,0,8,Red,Low breach,TRUE
Galway University Hospitals,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,663,17.3,7.4,24.7,24.7,17.3,7.4,24.7,121,52,178,5872,2512,1922,0,27,0,0,3.7,Green,No breach,TRUE
Letterkenny University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,350,3.6,1.7,5.3,5.3,3.6,1.7,5.3,25,12,37,1222,577,546,1,33,1,0,1.5,Green,Low breach,TRUE
Mater Misericordiae University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,678,14.3,5,19.3,19.3,14.3,5,19.3,100,35,141,4854,1697,1966,0,15,0,0,2.8,Green,No breach,TRUE
Mayo University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,255,14.1,7.6,21.7,21.7,14.1,7.6,21.7,99,53,149,4786,2580,3695,30,8,6,1,8.5,Red,Moderate breach,TRUE
Mercy University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,198,1.9,0.9,2.8,2.8,1.9,0.9,2.8,13,6,19,645,306,1460,0,16,0,0,1.4,Green,No breach,TRUE
Midland Regional Hospital Mullingar,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,5.6,3,8.6,8.6,5.6,3,8.6,39,21,61,1901,1018,1142,7,2,1,0,4.7,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,133,4.5,2,6.5,6.5,4.5,2,6.5,32,14,44,1528,679,1654,3,2,0,0,4.9,Amber,No breach,TRUE
Naas General Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,178,9.4,4.4,13.8,13.8,9.4,4.4,13.8,66,31,97,3191,1494,1162,5,9,2,1,7.8,Amber,Low breach,TRUE
Our Lady of Lourdes Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,426,2.7,1,3.7,3.7,2.7,1,3.7,19,7,26,917,339,791,0,10,0,0,0.9,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,184,1.1,0.4,1.5,1.5,1.1,0.4,1.5,8,3,10,373,136,380,0,2,0,0,0.8,Green,No breach,TRUE
Portiuncula University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,163,4.3,2,6.3,6.3,4.3,2,6.3,30,14,45,1460,679,1605,1,9,1,0,3.9,Green,Low breach,TRUE
Sligo University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,281,6.7,3.2,9.9,9.9,6.7,3.2,9.9,47,22,73,2274,1086,2933,0,22,1,0,3.5,Green,Low breach,TRUE
St Jamess Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,680,9.1,3.2,12.3,12.3,9.1,3.2,12.3,64,22,83,3089,1086,4390,0,1,0,0,1.8,Green,No breach,TRUE
St Lukes General Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,188,7.5,3.1,10.6,10.6,7.5,3.1,10.6,52,22,72,2546,1052,3773,2,3,1,0,5.6,Amber,Low breach,TRUE
St. Vincent's University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,523,27.4,13.8,41.2,41.2,27.4,13.8,41.2,192,97,287,9301,4684,3278,19,24,3,1,7.9,Amber,Low breach,TRUE
Tallaght University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,397,3.2,1.4,4.6,4.6,3.2,1.4,4.6,22,10,32,1086,475,68,0,9,0,0,1.2,Green,No breach,TRUE
Temple Street Childrens University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,100,0.6,0.2,0.8,0.8,0.6,0.2,0.8,4,1,6,204,68,325,0,1,2,1,0.8,Green,Low breach,TRUE
Tipperary University Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,205,5.8,2,7.8,7.8,5.8,2,7.8,41,14,56,1969,679,7563,0,9,0,0,3.8,Green,No breach,TRUE
University Hospital Kerry,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,272,6.1,3.2,9.3,9.3,6.1,3.2,9.3,43,22,62,2071,1086,421,0,15,3,1,3.4,Green,Low breach,TRUE
University Hospital Limerick,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,519,34.5,15.6,50.1,50.1,34.5,15.6,50.1,242,109,359,11711,5295,499,36,18,13,3,9.7,Red,Moderate breach,TRUE
Wexford General Hospital,synthetic,5/20/2022,2022,5,Friday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,227,1.8,0.6,2.4,2.4,1.8,0.6,2.4,13,4,16,611,204,1613,0,6,0,0,1.1,Green,No breach,TRUE
Bantry General Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,46,2.8,1.1,3.9,3.9,2.8,1.1,3.9,20,8,27,950,373,387,3,8,1,0,8.5,Red,Low breach,TRUE
Beaumont Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,718,6.1,3.1,9.2,9.2,6.1,3.1,9.2,43,22,66,2071,1052,1259,0,22,0,0,1.3,Green,No breach,TRUE
Cavan General Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,231,3.3,1.7,5,5,3.3,1.7,5,23,12,37,1120,577,3808,1,2,0,0,2.2,Green,No breach,TRUE
Connolly Hospital Blanchardstown,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,303,2.8,1.1,3.9,3.9,2.8,1.1,3.9,20,8,28,950,373,1322,0,4,0,0,1.3,Green,No breach,TRUE
Cork University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,664,19.9,7.2,27.1,27.1,19.9,7.2,27.1,139,50,190,6755,2444,478,10,31,1,0,4.1,Amber,Low breach,TRUE
Ennis Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,50,2.4,1.3,3.7,3.7,2.4,1.3,3.7,17,9,27,815,441,4457,1,4,1,0,7.4,Amber,Low breach,TRUE
Galway University Hospitals,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,663,13.8,5.5,19.3,19.3,13.8,5.5,19.3,97,38,133,4684,1867,1956,0,26,0,0,2.9,Green,No breach,TRUE
Letterkenny University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,350,3,1.2,4.2,4.2,3,1.2,4.2,21,8,31,1018,407,539,0,33,2,0,1.2,Green,Low breach,TRUE
Mater Misericordiae University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,678,11,5.6,16.6,16.6,11,5.6,16.6,77,39,114,3734,1901,1897,0,16,1,0,2.4,Green,Low breach,TRUE
Mayo University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,255,9.9,4.7,14.6,14.6,9.9,4.7,14.6,69,33,105,3361,1595,3797,9,6,2,1,5.7,Amber,Low breach,TRUE
Mercy University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,198,1.6,0.7,2.3,2.3,1.6,0.7,2.3,11,5,17,543,238,1490,0,16,0,0,1.2,Green,No breach,TRUE
Midland Regional Hospital Mullingar,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,4.3,2.2,6.5,6.5,4.3,2.2,6.5,30,15,47,1460,747,1208,0,2,0,0,3.5,Green,No breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,133,4.1,2.2,6.3,6.3,4.1,2.2,6.3,29,15,46,1392,747,1617,5,3,1,0,4.7,Amber,Low breach,TRUE
Naas General Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,178,8,2.7,10.7,10.7,8,2.7,10.7,56,19,74,2716,917,1217,3,8,1,0,6,Amber,Low breach,TRUE
Our Lady of Lourdes Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,426,1.9,0.9,2.8,2.8,1.9,0.9,2.8,13,6,20,645,306,800,1,9,0,0,0.7,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,1,0.4,1.4,1.4,1,0.4,1.4,7,3,10,339,136,374,0,1,0,0,0.8,Green,No breach,TRUE
Portiuncula University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,163,3.6,1.2,4.8,4.8,3.6,1.2,4.8,25,8,34,1222,407,1599,0,8,0,0,2.9,Green,No breach,TRUE
Sligo University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,281,6.2,2.5,8.7,8.7,6.2,2.5,8.7,43,18,61,2105,849,2919,0,24,0,0,3.1,Green,No breach,TRUE
St Jamess Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,680,6.1,3,9.1,9.1,6.1,3,9.1,43,21,65,2071,1018,4466,1,0,0,0,1.3,Green,No breach,TRUE
St Lukes General Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,188,5.1,2.4,7.5,7.5,5.1,2.4,7.5,36,17,53,1731,815,3897,3,6,1,0,4,Amber,Low breach,TRUE
St. Vincent's University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,523,26.5,9.9,36.4,36.4,26.5,9.9,36.4,186,69,257,8995,3361,3200,10,25,4,1,7,Amber,Low breach,TRUE
Tallaght University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,397,2.6,1,3.6,3.6,2.6,1,3.6,18,7,25,883,339,69,0,9,1,0,0.9,Green,Low breach,TRUE
Temple Street Childrens University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,100,0.5,0.2,0.7,0.7,0.5,0.2,0.7,4,1,5,170,68,325,0,4,0,0,0.7,Green,No breach,TRUE
Tipperary University Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,205,5.1,2.6,7.7,7.7,5.1,2.6,7.7,36,18,52,1731,883,7513,0,10,0,0,3.8,Green,No breach,TRUE
University Hospital Kerry,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,272,5.7,2.3,8,8,5.7,2.3,8,40,16,58,1935,781,420,0,16,0,0,2.9,Green,No breach,TRUE
University Hospital Limerick,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,519,28.9,15.1,44,44,28.9,15.1,44,202,106,323,9810,5126,496,55,19,11,3,8.5,Red,Moderate breach,TRUE
Wexford General Hospital,synthetic,5/21/2022,2022,5,Saturday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,227,1.5,0.8,2.3,2.3,1.5,0.8,2.3,10,6,16,509,272,1666,1,7,0,0,1,Green,No breach,TRUE
Bantry General Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,46,2.8,1,3.8,3.8,2.8,1,3.8,20,7,26,950,339,397,5,8,1,0,8.3,Red,Low breach,TRUE
Beaumont Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,718,6.6,2.5,9.1,9.1,6.6,2.5,9.1,46,18,65,2240,849,1255,0,22,0,0,1.3,Green,No breach,TRUE
Cavan General Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,231,3.4,1.7,5.1,5.1,3.4,1.7,5.1,24,12,35,1154,577,3597,1,2,0,0,2.2,Green,No breach,TRUE
Connolly Hospital Blanchardstown,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,303,2.5,1.1,3.6,3.6,2.5,1.1,3.6,18,8,26,849,373,1295,0,4,0,0,1.2,Green,No breach,TRUE
Cork University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,664,21.8,9.5,31.3,31.3,21.8,9.5,31.3,153,66,225,7400,3225,475,15,36,4,1,4.7,Amber,Low breach,TRUE
Ennis Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,50,2.5,1,3.5,3.5,2.5,1,3.5,18,7,24,849,339,4461,2,4,0,0,7,Amber,No breach,TRUE
Galway University Hospitals,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,663,15.5,6.3,21.8,21.8,15.5,6.3,21.8,108,44,154,5261,2139,1902,0,29,0,0,3.3,Green,No breach,TRUE
Letterkenny University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,350,3.3,1.1,4.4,4.4,3.3,1.1,4.4,23,8,32,1120,373,556,0,34,0,0,1.3,Green,No breach,TRUE
Mater Misericordiae University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,678,12.3,4.4,16.7,16.7,12.3,4.4,16.7,86,31,117,4175,1494,1920,1,16,1,0,2.5,Green,Low breach,TRUE
Mayo University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,255,10,3.9,13.9,13.9,10,3.9,13.9,70,27,97,3394,1324,3746,3,6,2,1,5.5,Amber,Low breach,TRUE
Mercy University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,198,1.6,0.6,2.2,2.2,1.6,0.6,2.2,11,4,15,543,204,1498,0,15,0,0,1.1,Green,No breach,TRUE
Midland Regional Hospital Mullingar,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,5.2,2.2,7.4,7.4,5.2,2.2,7.4,36,15,52,1765,747,1170,7,2,1,0,4,Amber,Low breach,TRUE
Midland Regional Hospital Portlaoise,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,133,3.9,1.4,5.3,5.3,3.9,1.4,5.3,27,10,39,1324,475,1659,3,2,1,0,4,Amber,Low breach,TRUE
Naas General Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,178,8.7,3.3,12,12,8.7,3.3,12,61,23,87,2953,1120,1165,3,9,2,0,6.7,Amber,Low breach,TRUE
Our Lady of Lourdes Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,426,2.2,0.8,3,3,2.2,0.8,3,15,6,22,747,272,794,0,10,0,0,0.7,Green,No breach,TRUE
Our Lady's Children's Hospital Crumlin,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,184,1,0.3,1.3,1.3,1,0.3,1.3,7,2,9,339,102,381,0,1,1,0,0.7,Green,Low breach,TRUE
Portiuncula University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,163,3.3,1.8,5.1,5.1,3.3,1.8,5.1,23,13,37,1120,611,1585,0,9,1,0,3.1,Green,Low breach,TRUE
Sligo University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,281,6.2,3,9.2,9.2,6.2,3,9.2,43,21,63,2105,1018,2899,1,25,0,0,3.3,Green,No breach,TRUE
St Jamess Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,680,7.8,4,11.8,11.8,7.8,4,11.8,55,28,86,2648,1358,4543,0,0,0,0,1.7,Green,No breach,TRUE
St Lukes General Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,188,6.1,2.9,9,9,6.1,2.9,9,43,20,65,2071,984,3760,7,1,1,0,4.8,Amber,Low breach,TRUE
St. Vincent's University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,523,25.3,11.6,36.9,36.9,25.3,11.6,36.9,177,81,268,8588,3938,3150,20,26,2,1,7.1,Amber,Low breach,TRUE
Tallaght University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,397,2.7,1.1,3.8,3.8,2.7,1.1,3.8,19,8,27,917,373,70,0,9,0,0,1,Green,No breach,TRUE
Temple Street Childrens University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,100,0.5,0.2,0.7,0.7,0.5,0.2,0.7,4,1,5,170,68,320,1,1,0,0,0.7,Green,No breach,TRUE
Tipperary University Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,205,5.4,1.9,7.3,7.3,5.4,1.9,7.3,38,13,51,1833,645,7543,0,10,0,0,3.6,Green,No breach,TRUE
University Hospital Kerry,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,272,4.5,2.3,6.8,6.8,4.5,2.3,6.8,32,16,49,1528,781,401,0,13,1,0,2.5,Green,Low breach,TRUE
University Hospital Limerick,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,519,31.8,15.5,47.3,47.3,31.8,15.5,47.3,223,108,317,10795,5261,498,58,20,16,4,9.1,Red,High breach,TRUE
Wexford General Hospital,synthetic,5/22/2022,2022,5,Sunday,Spring,FALSE,Not a Bank Holiday,TRUE,FALSE,FALSE,227,1.5,0.8,2.3,2.3,1.5,0.8,2.3,10,6,16,509,272,1668,0,7,0,0,1,Green,No breach,TRUE
Bantry General Hospital,synthetic,5/23/2022,2022,5,Monday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,46,3.4,1.8,5.2,5.2,3.4,1.8,5.2,24,13,38,1154,611,398,6,8,2,0,11.3,Red,Low breach,TRUE
Beaumont Hospital,synthetic,5/23/2022,2022,5,Monday,Spring,FALSE,Not a Bank Holiday,FALSE,FALSE,FALSE,718,7.9,3.3,11.2,11.2,7.9,3.3,11.2,55,23,80,2682,1120,1312,0,20,1,0,1.6,Green,Low breach,TRUE
